Date,Time,Rep,Trt,Stress,Algae,Type,FO_Menupoint,No.,1:F,1:Fm',1:PAR,1:Y (II),1:ETR,1:Fo',1:ETR-F.,1:qP,1:qN,1:qL,1:NPQ,1:Fo,1:Fm,1:Fv/Fm,Comments
7/23/14,17:28:18,1,G,,Cyano Spires,F,17,58,930,1264,101,0.264,11.2,~835,0.84,0.779,0.216,0.699,0.159,918,1465,0.373,
7/23/14,17:28:38,1,G,,Cyano Spires,F,17,59,903,1136,205,0.205,17.7,~777,0.84,0.649,0.344,0.558,0.29,918,1465,0.373,
7/23/14,17:28:57,1,G,,Cyano Spires,F,17,60,872,1037,331,0.159,22.1,~729,0.84,0.536,0.437,0.448,0.413,918,1465,0.373,
7/23/14,17:29:17,1,G,,Cyano Spires,F,17,61,842,962,476,0.125,25,~691,0.84,0.443,0.505,0.364,0.523,918,1465,0.373,
7/23/14,17:29:36,1,G,,Cyano Spires,F,17,62,815,904,638,0.098,26.3,~661,0.84,0.366,0.556,0.297,0.621,918,1465,0.373,
7/23/14,17:29:56,1,G,,Cyano Spires,F,17,63,786,843,926,0.068,26.4,~628,0.84,0.265,0.607,0.212,0.738,918,1465,0.373,
7/23/14,17:30:16,1,G,,Cyano Spires,F,17,64,742,784,1227,0.054,27.8,~594,0.84,0.221,0.653,0.177,0.869,918,1465,0.373,
7/23/14,16:59:41,1,A,,Nostoc brains,FO,17,2,628,842,1,0.254,0.1,-,0.84,-,-,-,-,628,842,0.254,
7/23/14,17:00:00,1,A,,Nostoc brains,F,17,3,681,838,101,0.187,7.9,~626,0.84,0.741,0.009,0.681,0.005,628,842,0.254,
7/23/14,17:00:19,1,A,,Nostoc brains,F,17,4,683,803,205,0.149,12.8,~606,0.84,0.609,0.079,0.54,0.049,628,842,0.254,
7/23/14,17:00:39,1,A,,Nostoc brains,F,17,5,659,743,331,0.113,15.7,~571,0.84,0.488,0.196,0.423,0.133,628,842,0.254,
7/23/14,17:00:58,1,A,,Nostoc brains,F,17,6,642,703,476,0.087,17.4,~547,0.84,0.391,0.271,0.333,0.198,628,842,0.254,
7/23/14,17:01:18,1,A,,Nostoc brains,F,17,7,619,666,638,0.071,19,~525,0.84,0.333,0.341,0.282,0.264,628,842,0.254,
7/23/14,17:01:38,1,A,,Nostoc brains,F,17,8,600,628,926,0.045,17.5,~501,0.84,0.22,0.407,0.184,0.341,628,842,0.254,
7/23/14,17:01:57,1,A,,Nostoc brains,F,17,9,576,596,1227,0.034,17.5,~480,0.84,0.172,0.458,0.143,0.413,628,842,0.254,
7/23/14,17:02:17,1,A,,Nostoc brains,F,17,10,546,557,1843,0.02,15.5,~455,0.84,0.108,0.523,0.09,0.512,628,842,0.254,
7/23/14,19:31:29,5,B,,Nostoc brains,FO,17,275,309,441,1,0.299,0.1,-,0.84,-,-,-,-,309,441,0.299,
7/23/14,19:31:49,5,B,,Nostoc brains,F,17,276,318,448,38,0.29,4.6,~312,0.84,0.956,-0.03,0.938,-0.016,309,441,0.299,
7/23/14,19:32:09,5,B,,Nostoc brains,F,17,277,316,416,101,0.24,10.2,~297,0.84,0.84,0.098,0.789,0.06,309,441,0.299,
7/23/14,19:32:28,5,B,,Nostoc brains,F,17,278,307,375,205,0.181,15.6,~275,0.84,0.68,0.242,0.609,0.176,309,441,0.299,
7/23/14,19:32:48,5,B,,Nostoc brains,F,17,279,306,350,331,0.126,17.5,~261,0.84,0.494,0.326,0.421,0.26,309,441,0.299,
7/23/14,19:33:07,5,B,,Nostoc brains,F,17,280,290,320,476,0.094,18.8,~244,0.84,0.395,0.424,0.332,0.378,309,441,0.299,
7/23/14,19:33:27,5,B,,Nostoc brains,F,17,281,276,298,638,0.074,19.8,~231,0.84,0.328,0.492,0.275,0.48,309,441,0.299,
7/23/14,19:33:47,5,B,,Nostoc brains,F,17,282,260,271,926,0.041,15.9,~215,0.84,0.196,0.576,0.162,0.627,309,441,0.299,
7/23/14,19:34:06,5,B,,Nostoc brains,F,17,283,248,255,1227,0.027,13.9,~204,0.84,0.137,0.614,0.113,0.729,309,441,0.299,
7/23/14,18:19:07,3,C,,Nostoc brains,FO,17,144,509,799,1,0.363,0.2,-,0.84,-,-,-,-,509,799,0.363,
7/23/14,18:19:26,3,C,,Nostoc brains,F,17,145,526,788,38,0.332,5.3,~505,0.84,0.926,0.024,0.889,0.014,509,799,0.363,
7/23/14,18:19:46,3,C,,Nostoc brains,F,17,146,535,750,101,0.287,12.2,~489,0.84,0.824,0.1,0.753,0.065,509,799,0.363,
7/23/14,18:20:06,3,C,,Nostoc brains,F,17,147,541,701,205,0.228,19.6,~467,0.84,0.684,0.193,0.59,0.14,509,799,0.363,
7/23/14,18:20:25,3,C,,Nostoc brains,F,17,148,533,644,331,0.172,23.9,~441,0.84,0.547,0.3,0.453,0.241,509,799,0.363,
7/23/14,18:20:45,3,C,,Nostoc brains,F,17,149,520,598,476,0.13,26,~419,0.84,0.436,0.383,0.351,0.336,509,799,0.363,
7/23/14,18:21:04,3,C,,Nostoc brains,F,17,150,503,559,638,0.1,26.8,~400,0.84,0.352,0.452,0.28,0.429,509,799,0.363,
7/23/14,18:21:24,3,C,,Nostoc brains,F,17,151,482,516,926,0.066,25.7,~377,0.84,0.245,0.521,0.192,0.548,509,799,0.363,
7/23/14,18:21:44,3,C,,Nostoc brains,F,17,152,452,475,1227,0.048,24.7,~355,0.84,0.192,0.586,0.151,0.682,509,799,0.363,
7/23/14,20:26:07,6,D,,Nostoc brains,FO,17,358,337,415,1,0.188,0.1,-,0.84,-,-,-,-,337,415,0.188,
7/23/14,20:26:26,6,D,,Nostoc brains,F,17,359,366,453,101,0.192,8.1,~362,0.84,0.956,-0.167,0.946,-0.084,337,415,0.188,
7/23/14,20:26:45,6,D,,Nostoc brains,F,17,360,373,450,205,0.171,14.7,~360,0.84,0.856,-0.154,0.826,-0.078,337,415,0.188,
7/23/14,20:27:05,6,D,,Nostoc brains,F,17,361,366,428,331,0.145,20.2,~346,0.84,0.756,-0.051,0.715,-0.03,337,415,0.188,
7/23/14,20:27:25,6,D,,Nostoc brains,F,17,362,359,407,476,0.118,23.6,~332,0.84,0.64,0.038,0.592,0.02,337,415,0.188,
7/23/14,20:27:44,6,D,,Nostoc brains,F,17,363,348,386,638,0.098,26.3,~318,0.84,0.559,0.128,0.511,0.075,337,415,0.188,
7/23/14,20:28:04,6,D,,Nostoc brains,F,17,364,335,361,926,0.072,28,~300,0.84,0.426,0.218,0.381,0.15,337,415,0.188,
7/23/14,20:28:23,6,D,,Nostoc brains,F,17,365,315,335,1227,0.06,30.9,~282,0.84,0.377,0.321,0.338,0.239,337,415,0.188,
7/23/14,20:28:43,6,D,,Nostoc brains,F,17,366,292,305,1843,0.043,33.3,~261,0.84,0.295,0.436,0.264,0.361,337,415,0.188,
7/23/14,19:00:41,4,E,,Nostoc brains,FO,17,225,191,236,1,0.191,0.1,-,0.84,-,-,-,-,191,236,0.191,
7/23/14,19:01:01,4,E,,Nostoc brains,F,17,226,192,242,38,0.207,3.3,~195,0.84,1.064,-0.044,1.081,-0.025,191,236,0.191,
7/23/14,19:01:20,4,E,,Nostoc brains,F,17,227,185,224,101,0.174,7.4,~183,0.84,0.951,0.089,0.941,0.054,191,236,0.191,
7/23/14,19:01:40,4,E,,Nostoc brains,F,17,228,174,203,205,0.143,12.3,~169,0.84,0.853,0.244,0.828,0.163,191,236,0.191,
7/23/14,19:02:00,4,E,,Nostoc brains,F,17,229,160,180,331,0.111,15.4,~153,0.84,0.741,0.4,0.709,0.311,191,236,0.191,
7/23/14,19:02:19,4,E,,Nostoc brains,F,17,230,148,162,476,0.086,17.2,~139,0.84,0.609,0.489,0.572,0.457,191,236,0.191,
7/23/14,19:02:39,4,E,,Nostoc brains,F,17,231,138,150,638,0.08,21.4,~130,0.84,0.6,0.556,0.565,0.573,191,236,0.191,
7/23/14,19:02:58,4,E,,Nostoc brains,F,17,232,130,138,926,0.058,22.6,~121,0.84,0.471,0.622,0.438,0.71,191,236,0.191,
7/23/14,19:03:18,4,E,,Nostoc brains,F,17,233,118,126,1227,0.063,32.5,~112,0.84,0.571,0.689,0.542,0.873,191,236,0.191,
7/23/14,19:05:51,4,E,,Nostoc brains,FO,17,234,178,254,1,0.299,0.1,-,0.84,-,-,-,-,178,254,0.299,
7/23/14,19:06:10,4,E,,Nostoc brains,F,17,235,184,263,38,0.3,4.8,~182,0.84,0.975,-0.066,0.964,-0.034,178,254,0.299,
7/23/14,19:06:29,4,E,,Nostoc brains,F,17,236,185,243,101,0.239,10.1,~173,0.84,0.829,0.079,0.775,0.045,178,254,0.299,
7/23/14,19:06:49,4,E,,Nostoc brains,F,17,237,178,220,205,0.191,16.4,~161,0.84,0.712,0.224,0.644,0.155,178,254,0.299,
7/23/14,19:07:08,4,E,,Nostoc brains,F,17,238,168,195,331,0.138,19.2,~147,0.84,0.563,0.368,0.493,0.303,178,254,0.299,
7/23/14,19:07:28,4,E,,Nostoc brains,F,17,239,154,175,476,0.12,24,~135,0.84,0.525,0.474,0.46,0.451,178,254,0.299,
7/23/14,19:07:48,4,E,,Nostoc brains,F,17,240,146,159,638,0.082,22,~125,0.84,0.382,0.553,0.327,0.597,178,254,0.299,
7/23/14,19:08:07,4,E,,Nostoc brains,F,17,241,137,147,926,0.068,26.4,~118,0.84,0.345,0.618,0.297,0.728,178,254,0.299,
7/23/14,19:08:27,4,E,,Nostoc brains,F,17,242,127,133,1227,0.045,23.2,~109,0.84,0.25,0.684,0.215,0.91,178,254,0.299,
7/23/14,18:02:26,2,G,,Nostoc brains,FO,17,121,361,504,1,0.284,0.1,-,0.84,-,-,-,-,361,504,0.284,
7/23/14,18:02:46,2,G,,Nostoc brains,F,17,122,387,549,38,0.295,4.7,~384,0.84,0.982,-0.154,0.974,-0.082,361,504,0.284,
7/23/14,18:03:05,2,G,,Nostoc brains,F,17,123,398,541,101,0.264,11.2,~380,0.84,0.888,-0.126,0.848,-0.068,361,504,0.284,
7/23/14,18:03:25,2,G,,Nostoc brains,F,17,124,406,516,205,0.213,18.3,~367,0.84,0.738,-0.042,0.667,-0.023,361,504,0.284,
7/23/14,18:03:44,2,G,,Nostoc brains,F,17,125,402,481,331,0.164,22.8,~349,0.84,0.598,0.077,0.519,0.048,361,504,0.284,
7/23/14,18:04:04,2,G,,Nostoc brains,F,17,126,388,447,476,0.132,26.4,~331,0.84,0.509,0.189,0.434,0.128,361,504,0.284,
7/23/14,18:04:24,2,G,,Nostoc brains,F,17,127,375,419,638,0.105,28.1,~315,0.84,0.423,0.273,0.355,0.203,361,504,0.284,
7/23/14,18:04:43,2,G,,Nostoc brains,F,17,128,360,389,926,0.075,29.2,~298,0.84,0.319,0.364,0.264,0.296,361,504,0.284,
7/23/14,18:05:03,2,G,,Nostoc brains,F,17,129,338,359,1227,0.058,29.9,~280,0.84,0.266,0.448,0.22,0.404,361,504,0.284,
7/23/14,17:41:25,2,B,,Phormidium,FO,17,78,543,950,1,0.428,0.2,-,0.84,-,-,-,-,543,950,0.428,
7/23/14,17:41:44,2,B,,Phormidium,F,17,79,564,939,38,0.399,6.4,~539,0.84,0.938,0.017,0.896,0.012,543,950,0.428,
7/23/14,17:42:04,2,B,,Phormidium,F,17,80,576,894,101,0.356,15.1,~524,0.84,0.859,0.091,0.781,0.063,543,950,0.428,
7/23/14,17:42:23,2,B,,Phormidium,F,17,81,594,849,205,0.3,25.8,~508,0.84,0.748,0.162,0.64,0.119,543,950,0.428,
7/23/14,17:42:43,2,B,,Phormidium,F,17,82,607,792,331,0.234,32.5,~487,0.84,0.607,0.251,0.487,0.199,543,950,0.428,
7/23/14,17:43:03,2,B,,Phormidium,F,17,83,617,757,476,0.185,37,~474,0.84,0.495,0.305,0.38,0.255,543,950,0.428,
7/23/14,17:43:22,2,B,,Phormidium,F,17,84,622,723,638,0.14,37.5,~460,0.84,0.384,0.354,0.284,0.314,543,950,0.428,
7/23/14,17:43:42,2,B,,Phormidium,F,17,85,620,683,926,0.092,35.8,~444,0.84,0.264,0.413,0.189,0.391,543,950,0.428,
7/23/14,17:44:01,2,B,,Phormidium,F,17,86,603,639,1227,0.056,28.9,~425,0.84,0.168,0.474,0.118,0.487,543,950,0.428,
7/23/14,17:09:35,1,C,,Phormidium,FO,17,23,619,975,1,0.365,0.2,-,0.84,-,-,-,-,619,975,0.365,
7/23/14,17:09:55,1,C,,Phormidium,F,17,24,618,954,38,0.352,5.6,~610,0.84,0.977,0.034,0.964,0.022,619,975,0.365,
7/23/14,17:10:15,1,C,,Phormidium,F,17,25,612,896,101,0.317,13.4,~586,0.84,0.916,0.129,0.877,0.088,619,975,0.365,
7/23/14,17:10:34,1,C,,Phormidium,F,17,26,628,855,205,0.265,22.8,~568,0.84,0.791,0.194,0.715,0.14,619,975,0.365,
7/23/14,17:10:54,1,C,,Phormidium,F,17,27,627,799,331,0.215,29.9,~543,0.84,0.672,0.281,0.582,0.22,619,975,0.365,
7/23/14,17:11:13,1,C,,Phormidium,F,17,28,629,762,476,0.175,35,~526,0.84,0.564,0.337,0.472,0.28,619,975,0.365,
7/23/14,17:11:33,1,C,,Phormidium,F,17,29,626,727,638,0.139,37.2,~509,0.84,0.463,0.388,0.376,0.341,619,975,0.365,
7/23/14,17:11:53,1,C,,Phormidium,F,17,30,624,691,926,0.097,37.7,~491,0.84,0.335,0.438,0.264,0.411,619,975,0.365,
7/23/14,17:12:12,1,C,,Phormidium,F,17,31,610,656,1227,0.07,36.1,~473,0.84,0.251,0.486,0.195,0.486,619,975,0.365,
7/23/14,18:55:36,4,D,,Phormidium,FO,17,215,498,865,1,0.424,0.2,-,0.84,-,-,-,-,498,865,0.424,
7/23/14,18:55:55,4,D,,Phormidium,F,17,216,505,867,38,0.418,6.7,~499,0.84,0.984,-0.003,0.972,-0.002,498,865,0.424,
7/23/14,18:56:15,4,D,,Phormidium,F,17,217,519,845,101,0.386,16.4,~491,0.84,0.921,0.035,0.871,0.024,498,865,0.424,
7/23/14,18:56:34,4,D,,Phormidium,F,17,218,537,808,205,0.335,28.8,~479,0.84,0.824,0.104,0.735,0.071,498,865,0.424,
7/23/14,18:56:54,4,D,,Phormidium,F,17,219,556,767,331,0.275,38.2,~464,0.84,0.696,0.174,0.581,0.128,498,865,0.424,
7/23/14,18:57:13,4,D,,Phormidium,F,17,220,569,732,476,0.223,44.6,~451,0.84,0.58,0.234,0.46,0.182,498,865,0.424,
7/23/14,18:57:33,4,D,,Phormidium,F,17,221,519,629,638,0.175,46.9,~410,0.84,0.502,0.403,0.397,0.375,498,865,0.424,
7/23/14,18:57:53,4,D,,Phormidium,F,17,222,520,593,926,0.123,47.8,~394,0.84,0.367,0.458,0.278,0.459,498,865,0.424,
7/23/14,18:58:12,4,D,,Phormidium,F,17,223,514,565,1227,0.09,46.4,~381,0.84,0.277,0.499,0.205,0.531,498,865,0.424,
7/23/14,19:45:37,5,E,,Phormidium,FO,17,306,647,1043,1,0.38,0.2,-,0.84,-,-,-,-,647,1043,0.38,
7/23/14,19:45:57,5,E,,Phormidium,F,17,307,653,1125,38,0.42,6.7,~678,0.84,1.056,-0.129,1.096,-0.073,647,1043,0.38,
7/23/14,19:46:17,5,E,,Phormidium,F,17,308,671,1125,101,0.404,17.1,~678,0.84,1.016,-0.129,1.027,-0.073,647,1043,0.38,
7/23/14,19:46:36,5,E,,Phormidium,F,17,309,695,1094,205,0.365,31.4,~666,0.84,0.932,-0.081,0.893,-0.047,647,1043,0.38,
7/23/14,19:46:56,5,E,,Phormidium,F,17,310,715,1043,331,0.314,43.7,~647,0.84,0.828,0,0.749,0,647,1043,0.38,
7/23/14,19:47:15,5,E,,Phormidium,F,17,311,730,1002,476,0.271,54.2,~631,0.84,0.733,0.063,0.634,0.041,647,1043,0.38,
7/23/14,19:47:35,5,E,,Phormidium,F,17,312,740,959,638,0.228,61.1,~614,0.84,0.635,0.129,0.527,0.088,647,1043,0.38,
7/23/14,19:47:55,5,E,,Phormidium,F,17,313,747,909,926,0.178,69.2,~593,0.84,0.513,0.202,0.407,0.147,647,1043,0.38,
7/23/14,19:48:14,5,E,,Phormidium,F,17,314,738,859,1227,0.141,72.7,~571,0.84,0.42,0.273,0.325,0.214,647,1043,0.38,
7/23/14,20:36:19,6,F,,Phormidium,FO,17,378,369,586,1,0.37,0.2,-,0.84,-,-,-,-,369,586,0.37,
7/23/14,20:36:38,6,F,,Phormidium,F,17,379,402,623,101,0.355,15.1,~383,0.84,0.921,-0.106,0.877,-0.059,369,586,0.37,
7/23/14,20:36:58,6,F,,Phormidium,F,17,380,403,594,205,0.322,27.7,~372,0.84,0.86,-0.023,0.794,-0.013,369,586,0.37,
7/23/14,20:37:18,6,F,,Phormidium,F,17,381,407,563,331,0.277,38.5,~360,0.84,0.768,0.065,0.679,0.041,369,586,0.37,
7/23/14,20:37:37,6,F,,Phormidium,F,17,382,415,547,476,0.241,48.2,~353,0.84,0.68,0.106,0.578,0.071,369,586,0.37,
7/23/14,20:37:57,6,F,,Phormidium,F,17,383,418,522,638,0.199,53.3,~343,0.84,0.581,0.175,0.477,0.123,369,586,0.37,
7/23/14,20:38:16,6,F,,Phormidium,F,17,384,418,491,926,0.149,57.9,~329,0.84,0.451,0.253,0.355,0.193,369,586,0.37,
7/23/14,20:38:36,6,F,,Phormidium,F,17,385,411,465,1227,0.116,59.8,~317,0.84,0.365,0.318,0.282,0.26,369,586,0.37,
7/23/14,20:38:55,6,F,,Phormidium,F,17,386,400,434,1843,0.078,60.4,~302,0.84,0.258,0.392,0.195,0.35,369,586,0.37,
7/23/14,18:38:35,3,G,,Phormidium,FO,17,184,325,549,1,0.408,0.2,-,0.84,-,-,-,-,325,549,0.408,
7/23/14,18:38:54,3,G,,Phormidium,F,17,185,346,586,38,0.41,6.5,~338,0.84,0.968,-0.107,0.946,-0.063,325,549,0.408,
7/23/14,18:39:14,3,G,,Phormidium,F,17,186,355,568,101,0.375,15.9,~332,0.84,0.903,-0.054,0.844,-0.033,325,549,0.408,
7/23/14,18:39:34,3,G,,Phormidium,F,17,187,369,542,205,0.319,27.5,~323,0.84,0.79,0.022,0.692,0.013,325,549,0.408,
7/23/14,18:39:53,3,G,,Phormidium,F,17,188,371,498,331,0.255,35.5,~306,0.84,0.661,0.143,0.545,0.102,325,549,0.408,
7/23/14,18:40:13,3,G,,Phormidium,F,17,189,378,475,476,0.204,40.8,~298,0.84,0.548,0.21,0.432,0.156,325,549,0.408,
7/23/14,18:40:32,3,G,,Phormidium,F,17,190,386,462,638,0.165,44.2,~292,0.84,0.447,0.241,0.338,0.188,325,549,0.408,
7/23/14,18:40:52,3,G,,Phormidium,F,17,191,388,438,926,0.114,44.3,~283,0.84,0.323,0.308,0.236,0.253,325,549,0.408,
7/23/14,18:41:12,3,G,,Phormidium,F,17,192,384,416,1227,0.077,39.7,~273,0.84,0.224,0.362,0.159,0.32,325,549,0.408,
7/23/14,18:45:30,4,A,,Rivularia,FO,17,194,499,648,1,0.23,0.1,-,0.84,-,-,-,-,499,648,0.23,
7/23/14,18:45:50,4,A,,Rivularia,F,17,195,528,707,38,0.253,4,~533,0.84,1.029,-0.168,1.039,-0.083,499,648,0.23,
7/23/14,18:46:09,4,A,,Rivularia,F,17,196,535,705,101,0.241,10.2,~532,0.84,0.983,-0.161,0.977,-0.081,499,648,0.23,
7/23/14,18:46:29,4,A,,Rivularia,F,17,197,536,682,205,0.214,18.4,~519,0.84,0.896,-0.094,0.868,-0.05,499,648,0.23,
7/23/14,18:46:48,4,A,,Rivularia,F,17,198,531,650,331,0.183,25.4,~500,0.84,0.793,-0.007,0.747,-0.003,499,648,0.23,
7/23/14,18:47:08,4,A,,Rivularia,F,17,199,523,623,476,0.161,32.2,~484,0.84,0.719,0.067,0.665,0.04,499,648,0.23,
7/23/14,18:47:27,4,A,,Rivularia,F,17,200,514,595,638,0.136,36.4,~467,0.84,0.633,0.141,0.575,0.089,499,648,0.23,
7/23/14,18:47:47,4,A,,Rivularia,F,17,201,502,564,926,0.11,42.8,~448,0.84,0.534,0.221,0.477,0.149,499,648,0.23,
7/23/14,18:48:07,4,A,,Rivularia,F,17,202,484,533,1227,0.092,47.4,~428,0.84,0.467,0.295,0.413,0.216,499,648,0.23,
